address,quantity,collection,expiration_timestamp
0x033dc1b4d07930fc44c6c8f446e0ee05e8ebeec3e94be149554c13c92d6e387b,"791,333.99282333510666846 STRK",alf,1733656851
0x01c94c8f659e01b704bac76d907dd6fa253d52515f720afbdfdf383ec4d78817,"777,084.334975 STRK",alf,1733656851
0x0273bd3bba1d2efbe1aca962e58114c0ab1e7be784123eb667d086ef073814d1,"742,954.88442725 STRK",alf,1733656851
0x047472e6755afc57ada9550b6a3ac93129cc4b5f98f51c73e0644d129fd208d9,"695,771.775168398795911062 STRK",alf,1733656851
0x05256376fec9c6e94414d2c208ca8c2db0d8d358489ade89c343afaa75456ec9,"679,274.699386401321747274 STRK",alf,1733656851
0x01144aa0618c0fd3fb55a82ebddd6a2c209955576fc05d89573bd6eca3b8d846,"661,032.373188672408062365 STRK",alf,1733656851
0x02b75eb6b46b60c5eb1ff40787bdf921eabea8f9fc570464a8d0c2cd6adf4112,"657,464.626881076042208826 STRK",alf,1733656851
0x030937922fb9eb4a270096715ed6b787f60cf2a9cbf80cf9be73614f59e06f6a,"647,654.6433925142 STRK",alf,1733656851
0x01bab4684d26a590ab65ad96ced4220b65f9a04f125af5b0683694e0de2ae6b1,"629,613.09937109151023928 STRK",alf,1733656851
0x049fb4281d13e1f5f488540cd051e1507149e99cc2e22635101041ec5e4e4557,"629,291.760124552535718515 STRK",alf,1733656851
0x0566ec9d06c79b1ca32970519715a27f066e76fac8971bbd21b96a50db826d90,"615,395.967162669661156327 STRK",alf,1733656851
0x01114c7103e12c2b2ecbd3a2472ba9c48ddcbf702b1c242dd570057e26212111,"552,297.140645930654597893 STRK",alf,1733656851
0x009e4fce1cad2f8afe2a24f7db77a41ffa538a59d718e9b1a82c85d5c35b4f47,"536,708.31705141 STRK",alf,1733656851
0x055e4c5db76bb5aa1c388fc9a7b6ddf40e3fc331728ffd19e9c08c46c737f39e,"532,181.66082 STRK",alf,1733656851
0x005775d59f114c5d1aa4c744035fcd61bcc0f88779e6b7bac63825bcac421ada,"526,839.22423675 STRK",alf,1733656851
