address,quantity,collection,expiration_timestamp
0x03d87ee70baf292cdc23c654153cfd711ff580a076d1dccc0dfd9d3eb62df311,"5,680,285.575596078011057733 SLINK",slinks,1733579162
0x06f328e9337077d9340fe393c9f66dabbfd976ab459a9b6b9483bd84f4ae64bb,"5,223,563.886056447966462439 SLINK",slinks,1733579162
0x07bafc7158b8ccbc65b907418ebbf42c390ef2fbbe7c8d6e75a4de0c6dec81c4,"5,200,329.114194520920098855 SLINK",slinks,1733579162
0x04d0e52197dbb64fcba719219062ab3570649c436f3ccbc88cc37ebfeafb2ce1,"5,151,859.432760583687824151 SLINK",slinks,1733579162
0x026751c270ee2b2ca71ff5611b7d3157a057907b4adcd39b9802b86286d36757,"5,000,000 SLINK",slinks,1733579162
0x03c20fcb69f3e02562e109f882b36bd75de8d08aa938076d0fbf138d0733b1f5,"4,727,398.377304343978309425 SLINK",slinks,1733579162
0x03bb0ee1ace26d86a9045872166f145dcb9ab4d37da9bdf76f6fe11ab129f0c8,"4,551,928.733505193152321785 SLINK",slinks,1733579162
0x00751bb89dbaff22b39fe82478e4e4268234ea78a133e1a59a33ff8e372f88a7,"4,511,796.97430283066855517 SLINK",slinks,1733579162
0x04c16d0b4674e55aedaa3ead639526fbdc8eae09e7d3a0a18dde3a8956c192e7,"4,337,287.283870528618940091 SLINK",slinks,1733579162
0x05515d762dfd8447f69e0520bfe1e0d14acd443b6f08e89b9edfd7293d1c450e,"4,240,292.984167546201845971 SLINK",slinks,1733579162
0x00ab3bebe95f968bd6334f2c0c93f6c87ae270da64881334839a473fd69e3c6a,"4,232,037.258255330768863029 SLINK",slinks,1733579162
0x07a25cc6e6515aae95a7e1cbdadb1b93590d30024e3dfb126a42ea52ef0776e9,"4,044,783.742021512356580936 SLINK",slinks,1733579162
0x05addd68f4a8eb858838e6fc009544c657f82fade61a3c3c916236f903b7132f,"3,891,549.785058669622844233 SLINK",slinks,1733579162
0x018279ff6350e2b4afeeca0049e417af407c0aa161e8cbeda9e1205fec0e65a5,"3,859,603.47049996870717493 SLINK",slinks,1733579162
0x061ef9fc98deb7d963455480add597f83faf4efddd22d0a92f181622e99c2f82,"3,702,511.150464956994919864 SLINK",slinks,1733579162
0x01710f5d08f7e243d07733af26467ea287fdb4c9926055c51015ae6355f2abfd,"3,500,000 SLINK",slinks,1733579162
0x0337aff0099d2725474ed9dc377c47e11bd1688d1ffc92789698b7180c45cd11,"3,336,223.322368504411338437 SLINK",slinks,1733579162
0x0351794b3f7f7153bdd8b7f591f342aeeb654e545efd3afe66b7eb1a542ac53f,"3,216,102.030233792123930873 SLINK",slinks,1733579162
0x040a3c752ce296cdb1b579655888ccee76fef08868a21c522043dfabfdb4f2e3,"3,207,498.190591918405937925 SLINK",slinks,1733579162
0x009140393605aed86c5f7b61b014f7e5c86e7497a5d42b38c85b12b3aefe1d92,"3,144,701.081681744613107798 SLINK",slinks,1733579162
0x02d08d1000514836457d9bcdc8b1b135a756f0c660512a4cd49c16fe62867c79,"3,102,599.645076096473005013 SLINK",slinks,1733579162
0x06f0c5cc599ba79b88b1bb912091d043a476d45e9b32a23c13cf06817032dd7a,"3,079,819.64228347338555131 SLINK",slinks,1733579162
0x0207671995ce9f0bf9a6823b58a61e381b3de35f189d7a5522badb8f01e054be,"3,073,218.036461432311249244 SLINK",slinks,1733579162
0x03da5d7ae0bbd2c6e9b16f0a139fa4469642bfc4d082322334d40a8fb72b7c57,"3,070,558.599194308462814632 SLINK",slinks,1733579162
0x047ab88662a0173b6014bfc41f7479cf8f973a7212fe5bc9abf8f40138c0c979,"3,069,945.515782467046575106 SLINK",slinks,1733579162
0x00e59af989c903939740f65f07de79b2ca6a35369434e3e8587eafadc9d9b98d,"3,069,662.700704830387771972 SLINK",slinks,1733579162
